time,outside_temperature,outside_humidity,room_temperature,supply_water_temp,return_water_temp_setpoint
2020-11-18 21:00:00,-1.3789065635502238,84.9916509993542,22.093342763958486,34.60780144135252,30.378513532397513
2020-11-18 22:00:00,0.167801505541173,76.01933004855235,22.100753301694212,34.429964841101004,30.80795444761286
2020-11-18 23:00:00,-0.49415809746465056,81.0337845540181,22.11062190899449,34.57685134934114,30.401627940412766
2020-11-19 00:00:00,1.9932100461703675,68.99773554746874,22.11160026597827,34.60158837841814,30.776126171703762
2020-11-19 01:00:00,6.280671941926241,54.01273854655598,22.12322541924659,35.192040848292784,30.81647468534739
2020-11-19 02:00:00,9.281001027764097,40.0012107140732,22.012726803071004,34.810164913307155,30.812975116545587
2020-11-19 03:00:00,10.631726673110494,31.006181949203647,21.946282123726366,35.20283509672548,30.775325394719342
2020-11-19 04:00:00,12.282328225456894,27.02107709161669,21.98782342860826,35.20198094210673,30.806813418204136
2020-11-19 05:00:00,13.883795361352837,24.003736325626242,21.985498067883338,34.83615726788339,30.78755928367815
2020-11-19 06:00:00,14.323477644759432,23.00087218865889,21.981227738040527,34.41859975131484,30.785815055673904
2020-11-19 07:00:00,14.390150427467978,19.989842349264755,21.787230988006655,34.42580741528607,30.452847984621066
2020-11-19 08:00:00,13.007663192013545,24.991475945544217,21.9889421943379,34.82428731695547,30.404628660308155
2020-11-19 09:00:00,11.108800251870639,32.04483316859891,22.01613493561759,34.41055443837444,30.382513096685773
2020-11-19 11:00:00,8.957319718438681,40.02454697874464,22.3048511893005,34.41027817459349,30.438497964479676
2020-11-19 12:00:00,9.301062331648362,38.00782573330191,22.312410639550766,34.37837618979877,30.39159864617362
2020-11-19 13:00:00,9.151812915172162,39.99759727594789,22.573878441961693,34.80439441606231,30.815913051647797
2020-11-19 14:00:00,10.035830501302174,38.973129859222254,22.57180184724918,34.38634612825676,30.392021895990595
2020-11-19 15:00:00,10.485633221374599,37.99320019769952,22.67030186218803,35.2234373728855,30.385863734621076
2020-11-19 16:00:00,10.822112296517348,36.98952611462175,22.71015023320906,35.18984425374029,30.37682895218915
2020-11-19 17:00:00,10.755451919030582,37.98558341294485,22.58614253653848,33.582354567000834,29.985555125704987
2020-11-19 18:00:00,10.735979109589938,37.951419877604216,22.607337289361165,33.154139221065684,29.989721728215883
2020-11-19 19:00:00,10.81280514626828,37.019075880370316,22.611068178722547,33.17447206017201,29.633133475648833
2020-11-19 20:00:00,10.109575677731018,45.007106536512154,22.56875677731911,33.175853225229126,29.611234689185697
2020-11-19 21:00:00,10.112038287399953,42.99113009558643,22.60335495984189,33.2086159055563,29.588987135735053
2020-11-19 22:00:00,10.433055966002446,38.01410885985723,22.627487442826055,33.22261979132402,29.599641080728084
2020-11-19 23:00:00,10.636423819985307,41.02974661555865,22.56889654249848,33.21090784446599,29.607512430044984
2020-11-20 00:00:00,10.697885379618809,42.00607062942325,22.489595524572966,33.18320884214499,29.583026842063713
2020-11-20 01:00:00,11.411700099922447,44.00183115308317,22.4746475355501,33.62172115385966,29.613047238272703
2020-11-20 02:00:00,12.01318678660195,47.004501578897084,22.49604063981428,33.57322550344797,29.61772773956582
2020-11-20 03:00:00,12.998142922311255,45.0109322944338,22.487829971797737,33.17559251824571,29.222226016380624
2020-11-20 04:00:00,13.694698130939157,43.02284953455326,22.498152582841914,33.20352624683074,29.622541162141413
2020-11-20 05:00:00,14.378979617251558,44.01289111191727,22.499518121635223,33.195303171893045,29.597621193539037
2020-11-20 06:00:00,16.127903944422766,38.011415917875695,22.26610103672304,33.605714605936974,29.57941724690381
2020-11-20 07:00:00,15.821730587690926,40.024304738253015,22.30245875535149,33.204877389365606,29.596955384860035
2020-11-20 08:00:00,14.785945751846825,44.97364356078341,22.172860292324827,33.24743289362331,29.191168484296018
2020-11-20 09:00:00,13.897481073638188,52.011706754754556,22.214562905564645,33.21993296318641,29.215353486224906
2020-11-20 10:00:00,13.0842289552378,57.02243117464016,22.0868277993065,33.224717541565816,29.202202443722065
2020-11-20 11:00:00,12.115456183620656,60.98566788510076,22.275542453527763,34.408146283670916,29.57265086623046
2020-11-20 12:00:00,10.67783729442747,69.02552086728781,22.32859493990575,34.02613666723178,29.612354987448608
2020-11-20 13:00:00,9.783509178425652,71.99405888700628,22.282866124647295,34.21234839771566,29.60036196485759
2020-11-20 14:00:00,7.508057359963028,83.01289228623396,22.494911564922212,36.41950687167572,30.388831249653318
2020-11-20 15:00:00,5.977987671082894,86.99846949583417,22.515620536462837,35.94292495802469,30.39739772636161
2020-11-20 16:00:00,4.993054381713705,91.0215599854193,22.291936874004634,35.97863432697113,30.372753413582185
2020-11-20 17:00:00,4.306320566423485,93.00791870787718,22.2510473437176,36.03884241558167,30.425754689295303
2020-11-20 18:00:00,3.6070007174939422,93.97267647733145,22.28849935140771,36.01567215977797,30.387541180980612
2020-11-20 19:00:00,3.073877551716081,95.01043778843254,22.26466136128305,36.0349250585644,30.4015773157933
2020-11-20 20:00:00,2.7187303592796783,95.9689099377843,22.460724206866846,35.99513147705541,30.78459742562541
2020-11-20 21:00:00,2.986861548624189,96.99357627790074,22.613490828736275,35.57877289538181,30.79164868768063
2020-11-20 22:00:00,3.588808826826605,98.0367057239351,22.699940204697594,35.63284550657927,30.819190030405508
2020-11-20 23:00:00,3.0049287272937133,97.02478495864305,22.76641408876485,35.61048172779239,30.79362965339906
2020-11-21 00:00:00,4.91309378921051,97.95416964381307,22.805046986815483,35.624138954849336,30.772529820233473
